"codigo_viagem";"empresa";"nu_linha";"onibus";"tipo_viagem";"sentido_linha";"in_transbordo";"origem";"origem_uf";"destino";"destino_uf";"lat";"lon";"pdop";"data_viagem_programada";"data_inicio_viagem";"data_fim_viagem"
"8b54fc44";"51c1ab4e";"7abcba0e";"c1bdaf51";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-20,72766;-42,2804749;1;2019-01-06 08:30:00;2019-01-06 08:47:18;2019-01-06 10:45:48
"655a9d68";"51c1ab4e";"7abcba0e";"a0e984dc";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-18,9018394;-41,9432529;1;2019-01-06 08:35:00;2019-01-06 10:20:45;2019-01-07 02:17:39
"fb3e08cb";"51c1ab4e";"7abcba0e";"72d5930c";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-14,8796609;-40,8539824;1;2019-01-06 09:00:00;2019-01-06 11:05:02;2019-01-07 11:24:38
"153069e7";"51c1ab4e";"7abcba0e";"8d07e6b2";"regular";"volta";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-22,1335409;-43,2478337;1;2019-01-06 09:10:00;2019-01-06 11:45:48;2019-01-07 06:01:26
"f28844e0";"51c1ab4e";"7abcba0e";"0df23e64";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-14,8808016;-40,8566423;2,4;2019-01-06 09:30:00;2019-01-06 11:21:00;2019-01-08 04:21:17
"0ccce08b";"51c1ab4e";"7abcba0e";"8a6a22ab";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-14,879701;-40,8540301;1;2019-01-06 09:55:00;2019-01-06 11:28:54;2019-01-07 01:14:20
"e2c281a7";"51c1ab4e";"7abcba0e";"40b96a8d";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-14,8796953;-40,854068;1;2019-01-06 10:15:00;2019-01-06 11:39:59;2019-01-07 12:59:12
"92a87528";"51c1ab4e";"7abcba0e";"e4919b51";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-14,8795885;-40,8542694;1;2019-01-06 11:00:00;2019-01-06 01:11:00;2019-01-07 01:12:02
"e5af45be";"51c1ab4e";"7abcba0e";"fd8aaa10";"regular";"volta";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-22,1333185;-43,2480764;1;2019-01-06 11:09:00;2019-01-06 02:09:45;2019-01-07 07:47:42
"7510582f";"51c1ab4e";"7abcba0e";"62d2133f";"regular";"volta";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-23,5132653;-46,6247263;1;2019-01-06 11:30:00;2019-01-06 01:37:49;2019-01-06 01:43:34
"8cde8070";"51c1ab4e";"7abcba0e";"44e24036";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-14,880759;-40,8571458;1;2019-01-06 13:00:00;2019-01-06 03:04:25;2019-01-07 03:28:39
"fcb474ff";"51c1ab4e";"7abcba0e";"ec05ab33";"regular";"volta";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-23,511155;-46,60261;6,8;2019-01-06 14:30:00;2019-01-06 04:29:11;2019-01-08 12:22:23
